gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Significance
ZNF454,62.98106064548368,1.6323293531823773,0.1057260848835018,15.43923011034618,8.915815669890177e-54,3.828100088647476e-52,Upregulated
DSC2,5865.65120712213,2.0184776533729116,0.13078351994742882,15.433730902672457,9.709147395170252e-54,4.158090981380566e-52,Upregulated
SOX6,271.2906689366089,2.542213738830542,0.16476380896720963,15.429442635284541,1.0376242774627875e-53,4.4324774478486706e-52,Upregulated
CHRM3,340.483203449134,3.0622898645895513,0.1985856004644178,15.42050308495679,1.1917238243715355e-53,5.0778323765353655e-52,Upregulated
VSTM5,70.69001317911362,2.4191927140288545,0.15744683145518865,15.365140674281447,2.8042930672184525e-53,1.1595682761690488e-51,Upregulated
TFDP1,5905.282155026996,1.0313626140352503,0.06716152200026829,15.356450886135818,3.2065466815274233e-53,1.316173733239178e-51,Upregulated
CDCA8,1465.6999822875896,1.5104765351780436,0.0983711783082135,15.35486878530077,3.2857368515128047e-53,1.3453890308096822e-51,Upregulated
VNN1,155.98313624046824,2.083784144500558,0.13572014880956978,15.35353565979606,3.3539746883223543e-53,1.3699884931278757e-51,Upregulated
B3GNT7,526.5318526022676,2.1340260407878273,0.13902514044849335,15.349929040916528,3.5457402169172667e-53,1.4448030767380356e-51,Upregulated
ODC1,3220.429148319874,1.3928572266401527,0.0907754962959138,15.343978094040462,3.8863110262305185e-53,1.5797430873694416e-51,Upregulated
RNASE10,9.167941768051326,2.5692295559525413,0.16761350208572826,15.328297088133588,4.947886033596801e-53,1.9967574695197862e-51,Upregulated
USP1,4561.335797452984,1.0491238519501576,0.06865815313194985,15.280397215665145,1.0330909771410445e-52,4.139267619151278e-51,Upregulated
PM20D2,842.0998749808003,2.0209105003279397,0.13232734760653672,15.27205477084701,1.1741422168296438e-52,4.69321417527049e-51,Upregulated
MEIG1,17.34098062242432,2.179194031204318,0.1430775902075703,15.230855007012941,2.2068646926985502e-52,8.717375167299591e-51,Upregulated
SLC36A4,735.1183995116354,1.1696686898312478,0.07690216901265118,15.209827041924207,3.043461469293062e-52,1.196572157997469e-50,Upregulated
HMGA1,8722.78705515537,1.3374793182039972,0.08797513566822465,15.202924190397987,3.3818164033186796e-52,1.3264937798811681e-50,Upregulated
SLC16A10,148.23795107776886,2.1163108440649476,0.1392964894440498,15.192851252112789,3.943850437537659e-52,1.5397525847763306e-50,Upregulated
EGFR,3180.1359845069987,2.2267015615682855,0.14659695506226159,15.18927566143906,4.1649651858920315e-52,1.6185517486285978e-50,Upregulated
CDK6,2241.043764460343,1.785370874191364,0.11766916116063646,15.172801918372299,5.354152258247681e-52,2.0666999917901187e-50,Upregulated
PIF1,204.93560942338306,1.8072670699855085,0.11917289450214563,15.165084959423972,6.022093173062498e-52,2.3187821144351655e-50,Upregulated
TAFA3,72.40647825416745,3.048961793773968,0.20156706979981573,15.126289213818575,1.0865175537513125e-51,4.136157980130847e-50,Upregulated
ANKLE1,58.038536664912804,2.0368717924846185,0.13501944080884462,15.085766762790431,2.009268008367876e-51,7.580132881905596e-50,Upregulated
CDCA7,674.7452492393421,2.3238862869612538,0.1540872298754691,15.081628041722748,2.139280847791128e-51,8.034507130361847e-50,Upregulated
ANKS6,640.449878137591,1.6600635015091223,0.11016456750793127,15.068942211293177,2.5923025128133212e-51,9.71419075560492e-50,Upregulated
IRAK1,8470.23470517918,1.083453040306493,0.07190321540056605,15.06821404676659,2.6210284862345446e-51,9.799961297751789e-50,Upregulated
ACAN,464.94692922323736,2.371178252459709,0.1574427904273159,15.060570547715065,2.942367334802686e-51,1.0928420977138826e-49,Upregulated
PTX3,304.852195430294,3.0950011631538614,0.20556222980891062,15.056273548068416,3.139939083677933e-51,1.1585340074018711e-49,Upregulated
IL34,584.584146365896,2.1609730039994246,0.14379014450252903,15.02865868502842,4.7655785982756976e-51,1.7468238757173016e-49,Upregulated
STMN1,12482.68331395974,1.3663553352442017,0.09095581531110448,15.02218775754724,5.254444618130345e-51,1.9218217047749943e-49,Upregulated
FMNL2,1847.1361417648448,1.2691381395840162,0.08461035676700152,14.999796574300545,7.364468533374462e-51,2.6760757086210056e-49,Upregulated
HORMAD1,229.81937362977456,4.332672668823735,0.2890686874214962,14.98838462052511,8.745447042741748e-51,3.157388493624698e-49,Upregulated
RASD2,1232.8046307327133,2.095097956913477,0.13988625675087402,14.977153621636146,1.0355810367406625e-50,3.714815052308171e-49,Upregulated
LYN,2167.442120748456,1.2529948659521135,0.08376825748316898,14.957871914715065,1.3838076094993727e-50,4.932348651438529e-49,Upregulated
IMPA2,1718.3835414962189,1.7110081641552943,0.1145260856183162,14.939899106109431,1.8124944622788037e-50,6.419442411969738e-49,Upregulated
PPP1R14C,575.7885875849486,3.173247294512756,0.2124575044773464,14.93591531313081,1.9241377282340804e-50,6.78622356756171e-49,Upregulated
TYMS,401.9261004272179,1.355787117029668,0.09077474696305816,14.93573006137292,1.929492694565303e-50,6.790843470935494e-49,Upregulated
STOX2,298.4416844152015,1.7884042922035337,0.11985006619987622,14.922013386467206,2.3701241359389995e-50,8.324193304214211e-49,Upregulated
MAML2,1488.4543928532023,1.4593425554237185,0.09780030243923665,14.921656876576721,2.382822705175172e-50,8.351320996760081e-49,Upregulated
