gene_name,Significance,log2FoldChange,pvalue,padj
CYP27C1,Upregulated,3.0090015512169215,4.378379544572006e-60,2.7529676327443758e-58
RASGEF1C,Upregulated,3.469929614441258,2.8182072198893905e-59,1.6777327236703222e-57
ST3GAL6,Upregulated,1.5036276383170517,2.868220157660042e-59,1.7014727917596037e-57
KBTBD12,Upregulated,3.9119368347083503,3.2634718639794847e-59,1.9291255511439293e-57
TIGD2,Upregulated,1.0800364238311235,9.545988906339656e-59,5.58390459092788e-57
MTHFD1L,Upregulated,1.559179872342228,1.0821279799490896e-58,6.307904349786568e-57
PELI1,Upregulated,1.288393353119568,1.2294923896127482e-58,7.142117036961528e-57
CCDC77,Upregulated,1.1235181338770344,2.1375500696368698e-58,1.2289448825021839e-56
KCNQ4,Upregulated,2.450351229290364,2.260583163504269e-58,1.295244714979852e-56
STAC,Upregulated,2.6064323754731915,3.95333939464961e-58,2.2421845188303263e-56
KRT79,Upregulated,3.7420810072829096,4.240028203233137e-58,2.396686649019458e-56
ARL9,Upregulated,2.484466784552256,5.339474643596109e-58,3.008023500560117e-56
NCK2,Upregulated,1.0295211791534615,7.826865883517524e-58,4.350908094453383e-56
PLCG2,Upregulated,1.505823804747357,1.1460901914372769e-57,6.308381027491476e-56
LMO4,Upregulated,1.7982780245321806,1.1915385647788424e-57,6.515814145116354e-56
POLR3G,Upregulated,1.3560094344933273,1.2143975761713189e-57,6.619255359988345e-56
E2F3,Upregulated,1.1834742174380104,3.675453296435727e-57,1.97135814506591e-55
CDKN2A,Upregulated,2.400557857126567,3.8314926508410267e-57,2.0485063255515653e-55
SRPK1,Upregulated,1.0372152073033365,4.928942153013742e-57,2.618578508379579e-55
SKP2,Upregulated,1.2479019269525045,5.128118218456465e-57,2.7157996420014868e-55
POU5F1,Upregulated,2.1760085899752877,5.413422898597909e-57,2.8578787302409338e-55
PDE9A,Upregulated,1.9518338895597824,6.348168351592223e-57,3.33040782145407e-55
FSCN1,Upregulated,1.6263533635169374,1.9472000857385988e-56,9.876010585915286e-55
PLEKHG1,Upregulated,1.3429265974504687,3.540385358905045e-56,1.7689282561100566e-54
TMSB15B,Upregulated,2.108199156959827,3.981881113211365e-56,1.9836148406110502e-54
C6orf15,Upregulated,3.9731610327512965,4.202567801127206e-56,2.0873582321101634e-54
LCTL,Upregulated,1.8214132236766136,4.5466013431448235e-56,2.2515735501095956e-54
NRG4,Upregulated,1.9218001617386054,5.786137407293576e-56,2.8402828887030574e-54
SCRG1,Upregulated,3.665507311464517,1.9075329157041613e-55,9.175834552676635e-54
NCAPD2,Upregulated,1.1824428986521123,2.148060462208402e-55,1.0303325439872757e-53
PSAT1,Upregulated,2.9250349439618875,2.762467500200942e-55,1.3175086475390175e-53
CAPN6,Upregulated,3.6027484811150154,4.246811725566179e-55,2.0139964759549437e-53
GLS,Upregulated,1.1483172311861825,5.8465797809377035e-55,2.7570893641118584e-53
TMSB15A,Upregulated,2.816463409813384,7.351917038977071e-55,3.4475972974957283e-53
ANKRD45,Upregulated,2.1857459977903027,1.0243738637606406e-54,4.776996784670454e-53
ZNF286A,Upregulated,1.0402829329254375,2.5415845674172435e-54,1.1500841433369458e-52
PRTFDC1,Upregulated,1.78905481601166,2.6297628874333054e-54,1.1867865417803854e-52
ADD2,Upregulated,2.288791358467153,2.8302631299876943e-54,1.273846043598751e-52
LBR,Upregulated,1.217714931731456,3.030671848916557e-54,1.3582443849794584e-52
PTGS2,Upregulated,2.987679037336605,3.16073750232621e-54,1.4112356699216067e-52
IFNAR2,Upregulated,1.0662670622929138,3.536661699070062e-54,1.5748932786203766e-52
CAMKV,Upregulated,4.14371050133044,3.81923712912976e-54,1.6917507367765278e-52
MPP6,Upregulated,1.791906471442819,4.7665021234489564e-54,2.0892960221530307e-52
FZD9,Upregulated,3.3660309335316,5.263539813368593e-54,2.301153812157082e-52
GPR55,Upregulated,2.4942435799973115,7.256609742936357e-54,3.1317214489566986e-52
ZNF454,Upregulated,1.6323293531823773,8.915815669890177e-54,3.828100088647476e-52
DSC2,Upregulated,2.0184776533729116,9.709147395170252e-54,4.158090981380566e-52
SOX6,Upregulated,2.542213738830542,1.0376242774627875e-53,4.4324774478486706e-52
CHRM3,Upregulated,3.0622898645895513,1.1917238243715355e-53,5.0778323765353655e-52
VSTM5,Upregulated,2.4191927140288545,2.8042930672184525e-53,1.1595682761690488e-51
TFDP1,Upregulated,1.0313626140352503,3.2065466815274233e-53,1.316173733239178e-51
CDCA8,Upregulated,1.5104765351780436,3.2857368515128047e-53,1.3453890308096822e-51
VNN1,Upregulated,2.083784144500558,3.3539746883223543e-53,1.3699884931278757e-51
B3GNT7,Upregulated,2.1340260407878273,3.5457402169172667e-53,1.4448030767380356e-51
ODC1,Upregulated,1.3928572266401527,3.8863110262305185e-53,1.5797430873694416e-51
RNASE10,Upregulated,2.5692295559525413,4.947886033596801e-53,1.9967574695197862e-51
USP1,Upregulated,1.0491238519501576,1.0330909771410445e-52,4.139267619151278e-51
PM20D2,Upregulated,2.0209105003279397,1.1741422168296438e-52,4.69321417527049e-51
MEIG1,Upregulated,2.179194031204318,2.2068646926985502e-52,8.717375167299591e-51
SLC36A4,Upregulated,1.1696686898312478,3.043461469293062e-52,1.196572157997469e-50
HMGA1,Upregulated,1.3374793182039972,3.3818164033186796e-52,1.3264937798811681e-50
SLC16A10,Upregulated,2.1163108440649476,3.943850437537659e-52,1.5397525847763306e-50
EGFR,Upregulated,2.2267015615682855,4.1649651858920315e-52,1.6185517486285978e-50
CDK6,Upregulated,1.785370874191364,5.354152258247681e-52,2.0666999917901187e-50
PIF1,Upregulated,1.8072670699855085,6.022093173062498e-52,2.3187821144351655e-50
TAFA3,Upregulated,3.048961793773968,1.0865175537513125e-51,4.136157980130847e-50
ANKLE1,Upregulated,2.0368717924846185,2.009268008367876e-51,7.580132881905596e-50
CDCA7,Upregulated,2.3238862869612538,2.139280847791128e-51,8.034507130361847e-50
ANKS6,Upregulated,1.6600635015091223,2.5923025128133212e-51,9.71419075560492e-50
IRAK1,Upregulated,1.083453040306493,2.6210284862345446e-51,9.799961297751789e-50
ACAN,Upregulated,2.371178252459709,2.942367334802686e-51,1.0928420977138826e-49
PTX3,Upregulated,3.0950011631538614,3.139939083677933e-51,1.1585340074018711e-49
IL34,Upregulated,2.1609730039994246,4.7655785982756976e-51,1.7468238757173016e-49
STMN1,Upregulated,1.3663553352442017,5.254444618130345e-51,1.9218217047749943e-49
FMNL2,Upregulated,1.2691381395840162,7.364468533374462e-51,2.6760757086210056e-49
HORMAD1,Upregulated,4.332672668823735,8.745447042741748e-51,3.157388493624698e-49
RASD2,Upregulated,2.095097956913477,1.0355810367406625e-50,3.714815052308171e-49
LYN,Upregulated,1.2529948659521135,1.3838076094993727e-50,4.932348651438529e-49
IMPA2,Upregulated,1.7110081641552943,1.8124944622788037e-50,6.419442411969738e-49
PPP1R14C,Upregulated,3.173247294512756,1.9241377282340804e-50,6.78622356756171e-49
TYMS,Upregulated,1.355787117029668,1.929492694565303e-50,6.790843470935494e-49
STOX2,Upregulated,1.7884042922035337,2.3701241359389995e-50,8.324193304214211e-49
MAML2,Upregulated,1.4593425554237185,2.382822705175172e-50,8.351320996760081e-49
CSTB,Upregulated,1.3242379086364924,2.7533545548049437e-50,9.629857555430291e-49
TMPRSS5,Upregulated,2.4374010508431816,2.8736499912591043e-50,1.0029695645167951e-48
ACTR3B,Upregulated,1.319461756691669,3.0898700876675544e-50,1.0761979052232966e-48
SLPI,Upregulated,3.1936998220004886,3.2442270247755726e-50,1.1276207720896958e-48
COLCA2,Upregulated,2.223759243373157,3.943118260576336e-50,1.3648880280114542e-48
TEX30,Upregulated,1.1256564611134354,5.024658254296432e-50,1.728564810924764e-48
MSN,Upregulated,1.0608901072486938,5.399466775084865e-50,1.853706507569013e-48
NOTCH1,Upregulated,1.0951088259984523,6.520035756786847e-50,2.2292945068215397e-48
ST8SIA1,Upregulated,1.9465359635939181,6.869786516439784e-50,2.3441052040242097e-48
DMRTA2,Upregulated,4.2835868023033985,1.023072634980647e-49,3.4767901611447576e-48
FOXC2,Upregulated,2.3445521198766373,1.0412030561917332e-49,3.5312559408781444e-48
MAP3K21,Upregulated,1.828292726546936,1.1269518172867792e-49,3.8143683686714614e-48
YES1,Upregulated,1.0232111730142361,1.2047361541316212e-49,4.069438743573774e-48
MCCC1,Upregulated,1.0411166581619256,2.451466443768548e-49,8.11740012978035e-48
ART3,Upregulated,4.364369483402525,3.496594979248752e-49,1.1509967943456478e-47
SLCO5A1,Upregulated,2.3609199081694943,4.756098990166972e-49,1.5473912761031615e-47
CA6,Upregulated,4.892299425397052,4.9451747917165226e-49,1.6057948627337908e-47
PHGDH,Upregulated,2.1179418510635726,7.357282922899828e-49,2.370711433966263e-47
FSD1,Upregulated,2.974762566718958,9.324721356887482e-49,2.9874698881570046e-47
MLC1,Upregulated,3.293343585789145,9.451909693119245e-49,3.016704561370454e-47
ADGRG2,Upregulated,2.5222965982285737,1.2913911083605321e-48,4.082838781008778e-47
NDC80,Upregulated,1.5353160103250296,1.4269062953857086e-48,4.502801294536706e-47
VGLL1,Upregulated,4.267094058751464,1.858744252243949e-48,5.832635234891854e-47
GPSM2,Upregulated,1.1978919568840745,2.1320988804960456e-48,6.653099629324835e-47
DZIP1,Upregulated,1.3881368829989058,2.1507214343389948e-48,6.698759079718561e-47
KCNS1,Upregulated,2.8825994688563066,4.192293440955123e-48,1.2843106256707044e-46
CRYAB,Upregulated,2.4645967408994416,4.499351597425081e-48,1.368389757564715e-46
PIMREG,Upregulated,1.6477728520862416,5.033786750638993e-48,1.5281593484580001e-46
LMNB2,Upregulated,1.0063298013454987,7.066424659535271e-48,2.1260060427289987e-46
IL12RB2,Upregulated,3.0021413429234425,7.550615714343956e-48,2.267616039577931e-46
FANCA,Upregulated,1.4268183323282497,1.0204517407612185e-47,3.0591685399820244e-46
DSG1,Upregulated,4.293627886305007,1.0253283215753896e-47,3.0683087099122354e-46
ZNF280B,Upregulated,2.166847341854726,1.1237657469450545e-47,3.3509377193096938e-46
ALKAL2,Upregulated,3.4917225598943906,1.3152596593225696e-47,3.9080671080897876e-46
CENPA,Upregulated,1.669896258933805,1.3983212804536421e-47,4.132925643706998e-46
TTK,Upregulated,1.5727020431709173,1.411380234509436e-47,4.164191806141373e-46
CAVIN4,Upregulated,1.478729224265881,1.6966757894885793e-47,4.9971566936726786e-46
CXCL5,Upregulated,3.9535942505363866,3.5425856354236744e-47,1.0307266490033388e-45
PRKD3,Upregulated,1.1798420098914324,4.2432477180625444e-47,1.2303219808434195e-45
SLC22A16,Upregulated,2.7992335946520406,4.404281216912562e-47,1.274811604647036e-45
GABRP,Upregulated,3.6044416429466746,4.476120261960419e-47,1.2933753349017474e-45
FAM3D,Upregulated,3.3918719503865424,5.560847038783247e-47,1.6040463932490232e-45
TRDMT1,Upregulated,1.0125841331677616,6.030882498821729e-47,1.7366458900552177e-45
ODAM,Upregulated,4.330845936673187,6.78361136359845e-47,1.9500559515768966e-45
MFHAS1,Upregulated,1.0294801110319705,7.841727558458927e-47,2.2503747393403157e-45
CHEK1,Upregulated,1.296369306692197,9.93460230641605e-47,2.8412624109048156e-45
TRIM2,Upregulated,1.7513743257410423,1.09159903702785e-46,3.116626638371351e-45
BCL11A,Upregulated,2.731718345229327,1.110307857688564e-46,3.164660155326929e-45
ABRACL,Upregulated,1.1864978123297065,1.1143114529878865e-46,3.1706882496204475e-45
IL22RA2,Upregulated,3.312654539766087,1.4082114141010592e-46,3.9866868836304524e-45
RASGEF1B,Upregulated,1.2788909601659386,1.9665133753403394e-46,5.5207067801360565e-45
TMCC2,Upregulated,2.1635996978979843,2.1782181432090274e-46,6.104829079831912e-45
CMTM7,Upregulated,1.5885082000514803,2.1912399856867573e-46,6.131089479951547e-45
TAF4B,Upregulated,1.5315857694210315,2.2390150963463572e-46,6.245629524299431e-45
TP53BP2,Upregulated,1.084597528615394,2.7818952248544503e-46,7.745017750390798e-45
FAM124A,Upregulated,1.4828541529515826,3.776258530543227e-46,1.0392758723075359e-44
DIPK2A,Upregulated,1.407125624212008,4.6425026328206766e-46,1.2693539771953341e-44
BTG3,Upregulated,1.4108307834369693,5.913361347207203e-46,1.6089709934670102e-44
RFC4,Upregulated,1.0574615064291901,6.429781192827059e-46,1.7410188171803332e-44
SMTNL2,Upregulated,2.7484195947235817,6.5132692742229226e-46,1.760785258867221e-44
MEAK7,Upregulated,1.1261189867010026,6.965470409110706e-46,1.8800051001310374e-44
PAX6,Upregulated,3.5458131158068404,9.259713142630924e-46,2.479299270151323e-44
SMCO4,Upregulated,1.3165996529242567,9.676976627871432e-46,2.5848159895147247e-44
PIM1,Upregulated,1.3132200667918923,1.2091646846006201e-45,3.2068652014336823e-44
IDO1,Upregulated,2.735406437788402,1.6805019329704082e-45,4.442876606410585e-44
NUDT11,Upregulated,1.8232812052042995,1.872455368269498e-45,4.942575585300053e-44
ESYT3,Upregulated,2.052796497479804,1.912151669910321e-45,5.039435201641204e-44
OTX1,Upregulated,2.0971909221965572,1.9874323269164516e-45,5.229626003804607e-44
ROPN1B,Upregulated,3.477483006315695,1.9987208843370953e-45,5.251099562793608e-44
MMS22L,Upregulated,1.1258335398253694,2.3350626138767497e-45,6.106079620212285e-44
HPDL,Upregulated,2.434970517846526,2.4400188867068137e-45,6.360720041930744e-44
GLIPR2,Upregulated,1.3906504435060258,2.704446586936425e-45,7.028211966174722e-44
TMEM71,Upregulated,1.93981009295086,2.999483998903062e-45,7.758911767886688e-44
NCMAP,Upregulated,2.753421772122308,3.270169331054139e-45,8.446092727651829e-44
CDC20,Upregulated,1.645573880580946,3.421428965049406e-45,8.823187321850911e-44
CLEC2L,Upregulated,3.1348960601605516,3.448076667069223e-45,8.878268571588668e-44
AFF2,Upregulated,2.023109304539241,4.287959852440222e-45,1.0990270229429992e-43
EPHB3,Upregulated,1.6307701401841836,4.795470049076593e-45,1.2272309631691742e-43
HRCT1,Upregulated,2.764153481233733,9.188513899212353e-45,2.3231441466864006e-43
CTSV,Upregulated,1.960988018886419,9.58487557358633e-45,2.4197126485619145e-43
TCF7L1,Upregulated,1.660488749130708,1.0049793785304558e-44,2.5294743338484697e-43
PPARA,Upregulated,1.2091608987957998,1.2412401559693718e-44,3.1008838896449127e-43
RRAGD,Upregulated,1.452952054360299,1.3164355771649755e-44,3.2789792981373305e-43
RGS20,Upregulated,2.123416767293195,1.518575266350022e-44,3.776865417997655e-43
PLOD1,Upregulated,1.1524451213668516,1.5645662349341567e-44,3.885493779892696e-43
TAF7L,Upregulated,1.9224572806152147,1.7324149947496292e-44,4.28332591043546e-43
IGF2BP3,Upregulated,3.2880764317319517,1.8125793829865318e-44,4.4749386296438084e-43
ELF5,Upregulated,3.2735559198361766,1.8569680058014444e-44,4.577794255711402e-43
COTL1,Upregulated,1.2675144803827663,1.97233994455189e-44,4.840883477944025e-43
NCOA7,Upregulated,1.452921716986401,2.499567775840944e-44,6.0903837185512e-43
LANCL3,Upregulated,1.7621716499634357,2.6748160669071335e-44,6.489134701045803e-43
NMT2,Upregulated,1.0112231901979134,2.8523183719369624e-44,6.9097721252637415e-43
HACD1,Upregulated,1.9029033130285047,3.2930441782807024e-44,7.943049664508108e-43
AMD1,Upregulated,1.1162023119711963,3.7475568427559937e-44,9.013464796015419e-43
CTPS1,Upregulated,1.123449280639434,4.456676239246515e-44,1.0703673920525106e-42
CNKSR2,Upregulated,2.012539849915696,4.702368663402584e-44,1.1261535680628042e-42
MGAM2,Upregulated,3.5390509947260678,5.24512974982496e-44,1.2472413348450628e-42
CCL20,Upregulated,2.59372550954752,5.877693623017503e-44,1.3956820444585266e-42
BARX1,Upregulated,3.409324743307315,6.4619271844908e-44,1.5257782499751272e-42
FAM78B,Upregulated,1.5594373442559408,8.362665804361975e-44,1.9607881777043136e-42
CHRDL2,Upregulated,2.669460344654722,8.740369694180782e-44,2.046489908311115e-42
IFRD1,Upregulated,1.1041304529442175,9.02407235340159e-44,2.1099739090376864e-42
RLBP1,Upregulated,4.602040965951328,9.431577837002315e-44,2.2021881603281624e-42
NT5DC2,Upregulated,1.272799968797934,1.150134798176365e-43,2.6743023534327998e-42
VSNL1,Upregulated,2.05589152218185,1.1923575508783023e-43,2.768644338056008e-42
CSRP2,Upregulated,1.5470388533006598,1.2769140194949456e-43,2.956804490935331e-42
SLC6A15,Upregulated,4.28544956494444,1.3461188277030851e-43,3.10847907558176e-42
MCM7,Upregulated,1.025359194200369,1.465960774662732e-43,3.3759327139969746e-42
SOD2,Upregulated,1.273110393316519,1.6299272579126127e-43,3.7483861377858824e-42
ORC1,Upregulated,1.4532690691477093,1.6814000746400337e-43,3.856194597412143e-42
MAMLD1,Upregulated,1.5669958131143507,1.889795002507051e-43,4.310581318218529e-42
ULBP3,Upregulated,2.062062897671832,2.3123791925287646e-43,5.2530746798610154e-42
ACSL6,Upregulated,2.290073469264044,2.511257498869386e-43,5.697160931218818e-42
RAD54L,Upregulated,1.43306623841878,2.650393164874126e-43,6.00469641726138e-42
PLAGL1,Upregulated,1.442111189234205,2.654756543070748e-43,6.006476124672739e-42
CEBPB,Upregulated,1.2900480426276184,2.814820191825703e-43,6.351505561877676e-42
EMILIN3,Upregulated,3.0501975338525593,3.145753527381769e-43,7.088712780897334e-42
KCNK5,Upregulated,2.409899150382564,3.292372734700033e-43,7.399244105775656e-42
TNFRSF21,Upregulated,1.3941066691258341,3.799649153143621e-43,8.527875666173144e-42
JRKL,Upregulated,1.13598217135914,3.9621504987725036e-43,8.880718634631881e-42
ATP11A,Upregulated,1.2093823139986637,5.802847892717199e-43,1.290307422820349e-41
BLACAT1,Upregulated,2.9874361948360617,6.163638268032246e-43,1.3651076417378012e-41
FOXM1,Upregulated,1.6156579467090266,6.5443533739069205e-43,1.4475178450744317e-41
SOX8,Upregulated,3.1334129205526193,6.56180566997637e-43,1.4475636476683747e-41
TSPAN33,Upregulated,1.262320226240336,6.7055948270772436e-43,1.4773428603277264e-41
TMEM74,Upregulated,2.392565459479594,1.0448900721211459e-42,2.2900280066279108e-41
SPIB,Upregulated,2.9331626711289593,1.076994971191167e-42,2.351182259604332e-41
ZCCHC18,Upregulated,1.4600408414847017,1.1112379205586397e-42,2.422787300043954e-41
AURKB,Upregulated,1.6053349839456614,1.560751006932238e-42,3.3765319464405164e-41
H2AC12,Upregulated,2.543009878534824,1.6901955079518334e-42,3.651866433397089e-41
C1QL2,Upregulated,4.106209735529865,1.8497979694204084e-42,3.9864452260115297e-41
WNT6,Upregulated,2.929229694315441,1.899886136459762e-42,4.089139546011088e-41
ADGRA3,Upregulated,1.0733825925520275,2.1215008236164706e-42,4.554444479139809e-41
SHC4,Upregulated,2.8929487827674962,2.7731982076768325e-42,5.923212660366243e-41
RASSF4,Upregulated,1.3523482516041587,3.9056400510770425e-42,8.268333565886683e-41
NFE2L3,Upregulated,1.475005007542358,4.89472203472617e-42,1.0284429727031658e-40
CDC7,Upregulated,1.2554347663236691,5.834616521999124e-42,1.2183027633248919e-40
TGFA,Upregulated,1.7640356586023191,5.959382919769891e-42,1.2428089497776016e-40
PRSS3,Upregulated,3.0444683282578997,6.399411035068341e-42,1.33126781235102e-40
SLC6A2,Upregulated,3.6447276668942306,8.08856425503189e-42,1.670243748013227e-40
KRT16,Upregulated,3.5284213098826056,8.797412527319726e-42,1.8121590369158718e-40
PGBD5,Upregulated,2.260054185454814,8.939165323040176e-42,1.8391018069019423e-40
ABTB2,Upregulated,1.6570105852961468,1.2533935356570463e-41,2.572368053375366e-40
CDC25A,Upregulated,1.4612450862985822,1.7336719377466821e-41,3.5235937640304234e-40
SPAAR,Upregulated,2.0344370816243114,2.4260972988001586e-41,4.883611684922909e-40
CLCN5,Upregulated,1.0182879954586181,2.833041070872147e-41,5.675548150095656e-40
TTYH1,Upregulated,3.0146313117773773,2.995167080552837e-41,5.993190101110969e-40
AMN,Upregulated,2.325015673925282,3.0942982032859816e-41,6.176822620305001e-40
GPR161,Upregulated,1.4148324856165515,3.682209791649956e-41,7.34167909527547e-40
FOSL1,Upregulated,1.9570448226796457,4.602707216180614e-41,9.122815672401434e-40
APBA2,Upregulated,1.7858203003381106,5.56693704818106e-41,1.0982108009972225e-39
CCDC88A,Upregulated,1.2412177897908359,6.401484799849066e-41,1.2598842534568127e-39
PSRC1,Upregulated,1.1401858390004498,9.027032087772184e-41,1.7662682364745854e-39
