patient_id,Complement,IL-6/JAK/STAT3 Signaling,Inflammatory Response,Interferon Alpha Response,Interferon Gamma Response,TNF-alpha Signaling via NF-kB
TCGA-OL-A6VR,2612.0835025387023,1762.7280526096747,920.7860142725913,4326.891390104529,3021.112577926,3356.3560023729606
TCGA-OL-A97C,3023.2486969178717,2809.1314936927065,1727.1922548883194,3867.1064162582225,3485.729291968424,4011.650689356142
TCGA-PE-A5DC,2885.7741283220785,2294.6620485369385,1321.0302074297724,5603.92116964034,4118.69673496685,3959.5300939836197
TCGA-PE-A5DD,3259.1610372218947,2508.056411299731,1663.5989290173184,4719.789611972705,3805.876339071132,3872.1971110480263
TCGA-PE-A5DE,4183.405355504756,4043.0618819735446,2929.626346820085,6227.646613950887,5599.479342154853,5067.176840188504
TCGA-S3-A6ZG,3051.9077271990536,2000.9055182875763,1386.2580229787454,4463.153872065601,3637.8986251774204,3483.0644817368957
TCGA-S3-A6ZH,2856.7383995621203,2391.522325670492,1226.4657757583063,4267.767678656144,3430.186257300058,3294.1477016361296
TCGA-S3-AA0Z,3579.470274741565,2725.5899254432497,2019.5187200048022,5165.805779162956,4337.136925482639,4109.59840272847
TCGA-S3-AA10,3982.9847167861444,4017.662315006208,3251.6486658181675,6943.225065584171,6115.686509322712,5566.318991583914
TCGA-S3-AA12,2269.6098743911407,1539.543915809394,856.1764193495328,3678.85957662034,2715.278847686588,2647.676177129937
TCGA-S3-AA14,2803.50313731757,2092.076797384876,1309.585995715779,3295.3694082489346,2927.4532813326477,3731.828628390578
TCGA-S3-AA15,4154.865391885411,4266.188981701069,3086.5137192324346,5227.230647286073,5077.784420785443,5148.899359521176
TCGA-UL-AAZ6,2831.6081132603395,1954.389964849308,1298.6913161892917,5767.247050395536,4208.43106357016,3350.145958922094
TCGA-UU-A93S,3290.682518612537,2482.0994543228335,1756.813250428926,6473.140740751984,4899.212583487739,3961.3940960568925
TCGA-W8-A86G,2658.9227362920246,2051.095835394126,978.8823074195534,3935.3895927982303,2877.400550608223,3562.453127537836
TCGA-XX-A899,3981.634248429531,3904.888675831098,2977.4828166957923,5183.896245493948,4693.608965582949,5101.301665661242
TCGA-XX-A89A,4075.4294125146243,3688.0589720045446,2712.8741170896283,4792.514070584128,4322.82708479601,4702.259210666143
TCGA-Z7-A8R6,3010.8721845817618,2299.722629936052,1384.1868424443655,4547.517808041373,3609.1928015872836,3853.812570973143
