Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Regulation Of Telomerase Activity (GO:0051972),3/45,0.0093240419417739,0.3409947761277319,0,0,7.430451127819549,34.73854090683587,ATM;TP53;WRAP53
GO_Biological_Process_2023,Positive Regulation Of mRNA Catabolic Process (GO:0061014),3/45,0.0093240419417739,0.3409947761277319,0,0,7.430451127819549,34.73854090683587,FTO;FXR2;TNRC6B
GO_Biological_Process_2023,Positive Regulation Of Programmed Cell Death (GO:0043068),7/245,0.0098660570266557,0.3409947761277319,0,0,3.094402277039848,14.291976536694683,CASP8;TNFSF10;ATM;BAK1;CFLAR;ECT2;TP53
GO_Biological_Process_2023,Vacuolar Transport (GO:0007034),3/46,0.0099048413584425,0.3409947761277319,0,0,7.257282741738066,33.49041210925619,VPS52;VTI1A;USE1
GO_Biological_Process_2023,DNA Repair-Dependent Chromatin Remodeling (GO:0140861),2/16,0.0101707617544195,0.3409947761277319,0,0,14.804038893044128,67.92445631361214,BABAM1;PHF1
GO_Biological_Process_2023,Activation Of Cysteine-Type Endopeptidase Activity (GO:0097202),2/16,0.0101707617544195,0.3409947761277319,0,0,14.804038893044128,67.92445631361214,CASP8;BAK1
GO_Biological_Process_2023,Cellular Response To Unfolded Protein (GO:0034620),2/17,0.0114542661454349,0.3409947761277319,0,0,13.816404886561957,61.75094368936497,DAXX;BAK1
GO_Biological_Process_2023,Postsynaptic Membrane Organization (GO:0001941),2/17,0.0114542661454349,0.3409947761277319,0,0,13.816404886561957,61.75094368936497,CHRNB1;NLGN2
GO_Biological_Process_2023,Positive Regulation Of Binding (GO:0051099),4/91,0.011706649726593,0.3409947761277319,0,0,4.797178130511464,21.335921038673607,TCF7L2;RALB;TERT;SPPL3
GO_Biological_Process_2023,Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage (GO:0008630),3/49,0.0117714599111621,0.3409947761277319,0,0,6.782951945080091,30.13039705737369,ATM;BAK1;TP53
GO_Biological_Process_2023,Regulation Of Programmed Cell Death (GO:0043067),6/195,0.0117721719306625,0.3409947761277319,0,0,3.3304473304473303,14.79390313879076,ALK;TOX3;DFFA;ATM;SLC39A7;TP53
GO_Biological_Process_2023,Regulation Of Mitochondrial Membrane Permeability (GO:0046902),2/18,0.0128049553988952,0.3409947761277319,0,0,12.952225130890051,56.44480034874298,TMEM102;BAK1
GO_Biological_Process_2023,Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway (GO:1901028),2/18,0.0128049553988952,0.3409947761277319,0,0,12.952225130890051,56.44480034874298,TMEM102;BAK1
GO_Biological_Process_2023,Neuromuscular Synaptic Transmission (GO:0007274),2/18,0.0128049553988952,0.3409947761277319,0,0,12.952225130890051,56.44480034874298,CHRNB1;KIF1B
GO_Biological_Process_2023,Peptide Antigen Assembly With MHC Protein Complex (GO:0002501),2/18,0.0128049553988952,0.3409947761277319,0,0,12.952225130890051,56.44480034874298,TAPBP;HLA-DPA1
GO_Biological_Process_2023,Renal Absorption (GO:0070293),2/18,0.0128049553988952,0.3409947761277319,0,0,12.952225130890051,56.44480034874298,SLC6A18;HNF1A
GO_Biological_Process_2023,Response To Organophosphorus (GO:0046683),2/18,0.0128049553988952,0.3409947761277319,0,0,12.952225130890051,56.44480034874298,P2RX7;P2RX4
GO_Biological_Process_2023,Glucose 6-Phosphate Metabolic Process (GO:0051156),2/18,0.0128049553988952,0.3409947761277319,0,0,12.952225130890051,56.44480034874298,PGLS;PGD
